rj | adres | sejda
th | intel | lehni
eo | iveto | otovi
nh | januš | šuhaj
vk | javor | rokaj
dl | jeden | nelej
hk | jehož | žokej
ld | jelen | nedej
md | jemen | nedej
ml | jemen | nelej
nk | jeneč | čekej
vš | jevil | lišej
žš | ježil | lišej
žl | ježov | volej
nb | jinan | nabij
nl | jinan | nalij
np | jinan | napij
žb | jižan | nabij
žl | jižan | nalij
žp | jižan | napij
hk | johan | nakoj
hp | johan | napoj
bj | kabin | nijak
jl | kaješ | šelak
pd | kapok | kodak
pň | kapok | koňak
pn | kapot | tonak
rj | karin | nijak
sj | kasin | nijak
sl | kasto | otlak
zj | kazin | nijak
cn | kecal | lanek
cť | kecal | laťek
cš | kecat | tašek
cl | kecáš | šálek
ct | kecáš | šátek
sh | keser | rehek
sz | keser | rezek
sr | keson | norek
sč | keson | noček
sž | keson | nožek
tr | keton | norek
tč | keton | noček
tž | keton | nožek
čp | kečup | pupek
čš | kečup | pušek
řd | keřem | medek
řz | keřem | mezek
ld | kilem | medik
nd | kinem | medik
td | kitem | medik
ld | koleč | čedok
mr | kombo | obrok
mt | kombo | obtok
nl | konal | lalok
nr | konat | tarok
nr | konto | otrok
nr | konán | nárok
nt | konán | nátok
pl | kopal | lalok
pr | kopat | tarok
pr | kopán | nárok
pt | kopán | nátok
rt | korán | nátok
vl | koval | lalok
vr | kovat | tarok
vr | kován | nárok
vt | kován | nátok
řl | kořal | lalok
ťr | koťat | tarok
cs | kácel | lesák
ct | kácel | leták
cv | kácel | levák
cž | kácel | ležák
cs | kácet | tesák
cd | kácov | vodák
cj | kácov | voják
cl | kácov | volák
jd | kájov | vodák
jl | kájov | volák
ls | kálel | lesák
lt | kálel | leták
lv | kálel | levák
lž | kálel | ležák
ls | kálet | tesák
ms | kámoš | šosák
ns | kánon | nosák
nv | kánon | novák
pd | kápem | medák
rp | káral | lapák
rb | kárat | tabák
rh | kárat | tahák
zp | kázal | lapák
zb | kázat | tabák
zh | kázat | tahák
ňb | káňat | tabák
ňh | káňat | tahák
žd | kážeš | šedák
bt | labem | metal
bk | labuť | ťukal
cp | lacet | tepal
cs | lacet | tesal
dt | ladem | metal
dk | ladit | tikal
dh | ladím | míhal
dv | ladím | míval
kt | lakem | metal
kt | lakom | motal
mh | lamel | lehal
mk | lamel | lekal
mj | lampu | upjal
ms | lampu | upsal
mv | lamám | mával
nt | lanem | metal
op | laosu | uspal
ot | laosu | ustal
ph | lapat | tahal
pb | lapen | nebal
pd | lapen | nedal
pk | lapen | nekal
pk | lapit | tikal
pv | lapám | mával
ph | lapím | míhal
pv | lapím | míval
pv | lapým | mýval
st | lasem | metal
th | latím | míhal
tv | latím | míval
uv | lauru | urval
zb | lazur | rubal
cp | lecos | sopel
dt | ledem | metel
dč | ledem | mečel
dj | leden | nejel
dm | leden | nemel
dz | leden | nezel
dš | leden | nešel
dž | leden | nežel
dp | ledeč | čepel
gt | legem | metel
gč | legem | mečel
gh | legát | táhel
hb | lehat | tabel
hs | lehám | másel
hč | lehám | máčel
hd | lehým | mýdel
kb | lekat | tabel
ks | lekám | másel
kč | lekám | máčel
kd | lekým | mýdel
mt | lemem | metel
mč | lemem | mečel
mv | lemon | novel
nř | lento | otřel
pt | lepem | metel
pč | lepem | mečel
pj | lepen | nejel
pm | lepen | nemel
pz | lepen | nezel
pš | lepen | nešel
pž | lepen | nežel
pb | lepil | libel
pd | lepič | čidel
pn | lepič | činel
pš | lepič | čišel
pj | lepím | míjel
pd | lepým | mýdel
st | lesem | metel
sč | lesem | mečel
tč | letem | mečel
tl | letmo | omlel
tp | letos | sopel
tj | letím | míjel
td | letíš | šídel
tl | letíš | šílel
td | letým | mýdel
vd | levým | mýdel
zk | lezeš | šekel
zv | lezeš | ševel
čt | lečem | metel
žl | ležmo | omlel
žj | ležím | míjel
žd | ležíš | šídel
žl | ležíš | šílel
or | lhotu | utrhl
oá | lhotu | utáhl
ůr | lhůtu | utrhl
ůá | lhůtu | utáhl
bd | libor | rodil
bj | libor | rojil
bn | libor | ronil
bč | libru | určil
bl | libým | mýlil
bt | libým | mýtil
cn | licím | mínil
cs | licím | mísil
cř | licím | mířil
dz | lidem | mezil
dl | lideč | čelil
dř | lideč | čeřil
hz | lihem | mezil
jř | liješ | šeřil
mš | limit | tišil
nb | lindo | odbil
nl | lindo | odlil
pb | lipan | nabil
pl | lipan | nalil
ps | lipan | nasil
pš | lipan | našil
pd | lipov | vodil
pl | lipov | volil
pz | lipov | vozil
pm | lipám | mámil
rm | lirám | mámil
sd | lisař | řadil
sz | lisem | mezil
tč | litin | ničil
tč | litru | určil
tn | litím | mínil
ts | litím | mísil
tř | litím | mířil
tl | litým | mýlil
šb | lišen | nebil
šp | lišen | nepil
šž | lišen | nežil
šd | lišov | vodil
šl | lišov | volil
šz | lišov | vozil
šn | liším | mínil
šs | liším | mísil
šř | liším | mířil
šř | lišíš | šířil
gk | login | nikol
gb | logos | sobol
gk | logos | sokol
kb | loken | nebol
kh | loken | nehol
ks | loken | nesol
kv | loken | nevol
sb | losos | sobol
sk | losos | sokol
sk | losův | vůkol
tb | lotos | sobol
tk | lotos | sokol
fn | luftu | utnul
mz | lumen | nezul
pz | lupen | nezul
xn | luxus | sunul
kt | lákem | metál
nt | lánem | metál
nk | lánov | vokál
kt | makat | tatam
lk | malin | nikam
tl | maten | nelam
tc | mates | secam
tz | mates | sezam
zt | mazat | tatam
řt | mařit | titam
šk | mašin | nikam
cl | mechu | uhlem
cr | mechu | uhrem
dč | medem | mečem
jk | meješ | šekem
jl | meješ | šelem
jr | meješ | šerem
kg | mekat | tagem
kh | mekat | tahem
kj | mekat | tajem
kr | mekot | torem
kt | mekot | totem
lk | meleš | šekem
lr | meleš | šerem
ld | meliv | videm
lr | meliv | virem
ls | meliv | visem
nl | menzu | uzlem
nk | menáž | žákem
nr | menáž | žárem
tš | metan | našem
tg | metat | tagem
th | metat | tahem
tj | metat | tajem
tj | metač | čajem
ts | metač | časem
td | metař | řadem
tb | meten | nebem
ts | meten | nesem
tk | meteš | šekem
tl | meteš | šelem
tr | meteš | šerem
tl | metro | orlem
tg | metám | mágem
tj | metám | májem
tk | metám | mákem
tl | metám | málem
zj | mezer | rejem
zk | mezer | rekem
zk | mezit | tikem
zp | mezit | tipem
zs | mezit | tisem
zr | mezím | mírem
zč | mezím | míčem
čp | mečet | tepem
čr | mečím | mírem
čp | mečíš | šípem
čž | mečům | můžem
šk | mešit | tikem
šp | mešit | tipem
šs | mešit | tisem
lš | milan | našim
xž | mixer | režim
cl | mocen | nelom
sl | mosaz | zalom
řl | mořen | nelom
gr | mágům | můrám
gz | mágům | můzám
kr | mákům | můrám
kz | mákům | můzám
mv | mámin | nivám
mr | mámím | mírám
ms | mámím | mísám
mv | mámím | mívám
rv | márám | mávám
vh | mávat | tahám
vx | mávat | taxám
čt | máčet | tetám
čr | máčím | mírám
čs | máčím | mísám
čv | máčím | mívám
řv | mářin | nivám
řr | mářím | mírám
řs | mářím | mísám
řv | mářím | mívám
šv | mášin | nivám
cl | míchu | uhlím
hj | míhat | tajím
hs | míhat | tasím
hv | míhat | tavím
jz | míjet | tezím
jl | míjím | mílím
jn | míjím | míním
jř | míjím | mířím
jl | míjíš | šílím
jř | míjíš | šířím
ld | mílař | řadím
lt | mílin | nitím
lč | mílin | ničím
ln | mílím | míním
lř | mílím | mířím
ln | mílův | vůním
nš | mínit | tiším
nd | mínus | sudím
np | mínus | supím
nš | mínus | suším
nř | míním | mířím
nj | míníš | šíjím
nl | míníš | šílím
nř | míníš | šířím
nč | míněn | něčím
rd | mírov | vodím
rl | mírov | volím
rs | mírov | vosím
rz | mírov | vozím
sš | mísit | tiším
sn | mísič | činím
sč | místo | otčím
sj | mísíš | šíjím
sl | mísíš | šílím
sř | mísíš | šířím
vj | mívat | tajím
vs | mívat | tasím
řj | mířen | nejím
řv | mířen | nevím
řš | mířit | tiším
řn | mířič | činím
řj | míříš | šíjím
řl | míříš | šílím
št | míšin | nitím
šč | míšin | ničím
šn | míšův | vůním
cd | mýcen | nedým
cm | mýcen | nemým
lk | mýlit | tikým
ls | mýlit | tisým
tk | mýtin | nikým
tk | mýtit | tikým
ts | mýtit | tisým
td | mýtus | sudým
žk | můžeš | šekům
bt | nabit | titan
br | nabyt | tyran
dc | nadir | rican
jt | najet | tetan
jg | najev | vegan
jm | najez | zeman
lt | nalit | titan
nd | nanes | sedan
nm | nanos | soman
ot | naoko | oktan
pt | napit | titan
pk | napiš | šikan
rv | naráz | závan
st | naset | tetan
vd | navar | radan
vt | navar | ratan
vm | navez | zeman
čt | načas | satan
šm | našíř | říman
šč | našíř | říčan
žt | nažit | titan
br | nebav | varen
bř | nebav | vařen
bl | nebes | selen
bm | nebes | semen
bč | nebes | sečen
bv | neboť | ťoven
bž | nebít | tížen
bd | nebýt | týden
cř | necpu | upřen
dj | nedat | tajen
dv | nedat | taven
dž | nedat | tažen
dn | nediv | vinen
fv | nefoť | ťoven
hm | nehet | temen
hp | nehet | tepen
hč | nehet | tečen
hř | nehtu | utřen
js | nejen | nesen
jm | nejet | temen
jp | nejet | tepen
jč | nejet | tečen
jl | nejez | zelen
jt | nejso | osten
jž | nejít | tížen
jř | nejíš | šířen
kj | nekov | vojen
kl | nekov | volen
lc | nelep | pecen
lč | nelep | pečen
lč | nelin | ničen
lř | nelíš | šířen
mž | nemít | tížen
md | nemýt | týden
nl | nenes | selen
nm | nenes | semen
nč | nenes | sečen
ns | nenos | sosen
pz | nepiš | šizen
pž | nepít | tížen
rl | nerez | zelen
tm | neteř | řemen
tč | neteř | řečen
tš | neteř | řešen
tl | netop | polen
vz | nevař | řazen
vř | nevíš | šířen
xk | nexus | suken
xš | nexus | sušen
zč | nezru | určen
čř | nečtu | utřen
žš | nežit | tišen
gs | niger | resin
kv | nikon | novin
kř | nikon | nořin
mv | nimiž | živin
ns | ninin | nisin
ts | niter | resin
bm | nábor | román
dm | nádor | román
hr | nához | zorán
kd | nákaz | zadán
lp | nálet | tepán
mt | námit | titán
pm | nápor | román
rd | náraz | zadán
rk | nártu | utkán
rp | nárys | sypán
vk | náves | sekán
vr | návoz | zorán
zm | názor | román
čh | náčrt | trhán
čv | náčrt | trván
zř | nízko | okřín
km | někdo | odměn
or | obout | turbo
rs | okras | sasko
ri | okres | seiko
tč | oktet | tečko
tž | oktáv | vážko
lm | oplet | tempo
ae | otavy | yveto
oi | otopu | upito
řa | otřes | seato
řm | otřít | tímto
kt | pokaz | zatop
rt | poraz | zatop
lt | pulsu | ustup
bt | rabat | tatar
ft | rafat | tatar
bp | robot | topor
db | rodit | tibor
jb | rojit | tibor
ln | rolet | tenor
lr | rolet | teror
nb | ronit | tibor
rk | rorýs | sýkor
sb | rosit | tibor
sv | rostu | utvor
uv | routu | utvor
zn | rozet | tenor
zr | rozet | teror
šv | roštu | utvor
br | sabat | taras
hr | sahat | taras
mr | samet | teras
mx | samet | texas
mp | samot | topas
dl | sedět | těles
nx | sinat | taxis
ar | skaut | turks
or | skout | turks
pn | supot | tonus
pr | supot | torus
lk | sálat | takás
pk | sápat | takás
pk | sýpat | takýs
jk | tajit | tikat
jv | tajíš | šívat
lh | talíř | říhat
lk | talíř | říkat
mk | tamtu | utkat
pl | tapet | telat
pn | tapet | tenat
ps | tapet | tesat
sk | tasit | tikat
sl | tasov | volat
sv | tasíš | šívat
tv | tatru | urvat
td | tatáž | žádat
vr | tavbu | ubrat
vk | tavit | tikat
al | teamu | umlet
lb | telit | tibet
lk | telit | tiket
lr | telit | tiret
pč | teprv | vrčet
kp | tikot | topit
kč | tikot | točit
tč | titru | určit
šř | tišíš | šířit
np | toneš | šepot
tv | totiž | život
cn | tuctu | utnut
ro | turku | ukout
žo | tužku | ukout
čr | tyčku | ukryt
td | tětiv | vidět
tn | tětiv | vinět
rč | ukroč | čočku
řl | umřeš | šelmu
řr | umřeš | šermu
nr | upneš | šerpu
dk | vodič | čikov
lk | volič | čikov
rk | zaráz | zákaz
rv | zaráz | závaz
hd | čihař | řadič
lř | šílíš | šíříš
